codigo_impeto,codigo_atributo,ordem,delta_fisico,bit_delta,largura_delta,fonte_preferida,registro_origem,endereco_origem,presente_dt200,presente_dt870_original,presente_dt870_atualizacao,condicao_estado,receita_confirmada,aplicavel_agora,falta_o_que
14,PB:408:6,3,2,160,5,dt870_atualizacao,13,dt870_atualizacao · PlayerBooster.bin · registro 13 · bit 160 · largura 5,true,true,true,ausente_comprovada,true,true,
14,PB:518:6,4,2,175,5,dt870_atualizacao,13,dt870_atualizacao · PlayerBooster.bin · registro 13 · bit 175 · largura 5,true,true,true,ausente_comprovada,true,true,
15,PB:384:6,1,2,249,5,dt870_atualizacao,14,dt870_atualizacao · PlayerBooster.bin · registro 14 · bit 249 · largura 5,true,false,true,ausente_comprovada,true,true,
15,PB:448:6,2,2,229,5,dt870_atualizacao,14,dt870_atualizacao · PlayerBooster.bin · registro 14 · bit 229 · largura 5,true,false,true,ausente_comprovada,true,true,
15,PB:524:6,3,2,122,5,dt870_atualizacao,14,dt870_atualizacao · PlayerBooster.bin · registro 14 · bit 122 · largura 5,true,false,true,ausente_comprovada,true,true,
15,PB:428:6,4,2,185,5,dt870_atualizacao,14,dt870_atualizacao · PlayerBooster.bin · registro 14 · bit 185 · largura 5,true,false,true,ausente_comprovada,true,true,
16,PB:504:6,1,2,149,5,dt870_atualizacao,15,dt870_atualizacao · PlayerBooster.bin · registro 15 · bit 149 · largura 5,true,true,true,ausente_comprovada,true,true,
16,PB:492:6,2,2,239,5,dt870_atualizacao,15,dt870_atualizacao · PlayerBooster.bin · registro 15 · bit 239 · largura 5,true,true,true,ausente_comprovada,true,true,
16,PB:434:6,3,2,180,5,dt870_atualizacao,15,dt870_atualizacao · PlayerBooster.bin · registro 15 · bit 180 · largura 5,true,true,true,ausente_comprovada,true,true,
16,PB:550:6,4,2,271,5,dt870_atualizacao,15,dt870_atualizacao · PlayerBooster.bin · registro 15 · bit 271 · largura 5,true,true,true,ausente_comprovada,true,true,
17,PB:396:6,1,2,276,5,dt870_atualizacao,16,dt870_atualizacao · PlayerBooster.bin · registro 16 · bit 276 · largura 5,true,false,true,ausente_comprovada,true,true,
17,PB:492:6,2,2,239,5,dt870_atualizacao,16,dt870_atualizacao · PlayerBooster.bin · registro 16 · bit 239 · largura 5,true,false,true,ausente_comprovada,true,true,
17,PB:524:6,3,2,122,5,dt870_atualizacao,16,dt870_atualizacao · PlayerBooster.bin · registro 16 · bit 122 · largura 5,true,false,true,ausente_comprovada,true,true,
17,PB:550:6,4,2,271,5,dt870_atualizacao,16,dt870_atualizacao · PlayerBooster.bin · registro 16 · bit 271 · largura 5,true,false,true,ausente_comprovada,true,true,
18,PB:390:6,1,2,261,5,dt870_atualizacao,17,dt870_atualizacao · PlayerBooster.bin · registro 17 · bit 261 · largura 5,true,false,true,ausente_comprovada,true,true,
18,PB:486:6,2,2,217,5,dt870_atualizacao,17,dt870_atualizacao · PlayerBooster.bin · registro 17 · bit 217 · largura 5,true,false,true,ausente_comprovada,true,true,
18,PB:408:6,3,2,160,5,dt870_atualizacao,17,dt870_atualizacao · PlayerBooster.bin · registro 17 · bit 160 · largura 5,true,false,true,ausente_comprovada,true,true,
18,PB:454:6,4,2,234,5,dt870_atualizacao,17,dt870_atualizacao · PlayerBooster.bin · registro 17 · bit 234 · largura 5,true,false,true,ausente_comprovada,true,true,
19,PB:390:6,1,2,261,5,dt870_atualizacao,18,dt870_atualizacao · PlayerBooster.bin · registro 18 · bit 261 · largura 5,true,true,true,ausente_comprovada,true,true,
19,PB:434:6,2,2,180,5,dt870_atualizacao,18,dt870_atualizacao · PlayerBooster.bin · registro 18 · bit 180 · largura 5,true,true,true,ausente_comprovada,true,true,
19,PB:480:6,3,2,202,5,dt870_atualizacao,18,dt870_atualizacao · PlayerBooster.bin · registro 18 · bit 202 · largura 5,true,true,true,ausente_comprovada,true,true,
19,PB:454:6,4,2,234,5,dt870_atualizacao,18,dt870_atualizacao · PlayerBooster.bin · registro 18 · bit 234 · largura 5,true,true,true,ausente_comprovada,true,true,
20,PB:504:6,1,2,149,5,dt870_atualizacao,19,dt870_atualizacao · PlayerBooster.bin · registro 19 · bit 149 · largura 5,true,false,true,ausente_comprovada,true,true,
20,PB:486:6,2,2,217,5,dt870_atualizacao,19,dt870_atualizacao · PlayerBooster.bin · registro 19 · bit 217 · largura 5,true,false,true,ausente_comprovada,true,true,
20,PB:434:6,3,2,180,5,dt870_atualizacao,19,dt870_atualizacao · PlayerBooster.bin · registro 19 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
20,PB:480:6,4,2,202,5,dt870_atualizacao,19,dt870_atualizacao · PlayerBooster.bin · registro 19 · bit 202 · largura 5,true,false,true,ausente_comprovada,true,true,
21,PB:504:6,1,2,149,5,dt870_atualizacao,20,dt870_atualizacao · PlayerBooster.bin · registro 20 · bit 149 · largura 5,true,false,true,ausente_comprovada,true,true,
21,PB:408:6,2,2,160,5,dt870_atualizacao,20,dt870_atualizacao · PlayerBooster.bin · registro 20 · bit 160 · largura 5,true,false,true,ausente_comprovada,true,true,
21,PB:518:6,3,2,175,5,dt870_atualizacao,20,dt870_atualizacao · PlayerBooster.bin · registro 20 · bit 175 · largura 5,true,false,true,ausente_comprovada,true,true,
21,PB:480:6,4,2,202,5,dt870_atualizacao,20,dt870_atualizacao · PlayerBooster.bin · registro 20 · bit 202 · largura 5,true,false,true,ausente_comprovada,true,true,
22,PB:416:6,1,2,165,5,dt870_atualizacao,21,dt870_atualizacao · PlayerBooster.bin · registro 21 · bit 165 · largura 5,true,false,true,ausente_comprovada,true,true,
22,PB:472:6,3,2,,5,dt870_atualizacao,21,dt870_atualizacao · PlayerBooster.bin · registro 21 · conjunto GK bits 192/197/256,true,false,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
22,PB:466:6,2,2,,5,dt870_atualizacao,21,dt870_atualizacao · PlayerBooster.bin · registro 21 · conjunto GK bits 192/197/256,true,false,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
22,PB:460:6,4,2,,5,dt870_atualizacao,21,dt870_atualizacao · PlayerBooster.bin · registro 21 · conjunto GK bits 192/197/256,true,false,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
23,PB:396:6,1,3,276,5,dt870_atualizacao,22,dt870_atualizacao · PlayerBooster.bin · registro 22 · bit 276 · largura 5,true,false,true,ausente_comprovada,true,true,
23,PB:530:6,2,3,244,5,dt870_atualizacao,22,dt870_atualizacao · PlayerBooster.bin · registro 22 · bit 244 · largura 5,true,false,true,ausente_comprovada,true,true,
23,PB:384:6,3,3,249,5,dt870_atualizacao,22,dt870_atualizacao · PlayerBooster.bin · registro 22 · bit 249 · largura 5,true,false,true,ausente_comprovada,true,true,
23,PB:518:6,4,3,175,5,dt870_atualizacao,22,dt870_atualizacao · PlayerBooster.bin · registro 22 · bit 175 · largura 5,true,false,true,ausente_comprovada,true,true,
24,PB:530:6,1,3,244,5,dt870_atualizacao,23,dt870_atualizacao · PlayerBooster.bin · registro 23 · bit 244 · largura 5,true,true,true,ausente_comprovada,true,true,
24,PB:384:6,2,3,249,5,dt870_atualizacao,23,dt870_atualizacao · PlayerBooster.bin · registro 23 · bit 249 · largura 5,true,true,true,ausente_comprovada,true,true,
24,PB:368:6,3,3,154,5,dt870_atualizacao,23,dt870_atualizacao · PlayerBooster.bin · registro 23 · bit 154 · largura 5,true,true,true,ausente_comprovada,true,true,
24,PB:428:6,4,3,185,5,dt870_atualizacao,23,dt870_atualizacao · PlayerBooster.bin · registro 23 · bit 185 · largura 5,true,true,true,ausente_comprovada,true,true,
25,PB:530:6,1,3,244,5,dt870_atualizacao,24,dt870_atualizacao · PlayerBooster.bin · registro 24 · bit 244 · largura 5,true,false,true,ausente_comprovada,true,true,
25,PB:402:6,2,3,281,5,dt870_atualizacao,24,dt870_atualizacao · PlayerBooster.bin · registro 24 · bit 281 · largura 5,true,false,true,ausente_comprovada,true,true,
25,PB:408:6,3,3,160,5,dt870_atualizacao,24,dt870_atualizacao · PlayerBooster.bin · registro 24 · bit 160 · largura 5,true,false,true,ausente_comprovada,true,true,
25,PB:518:6,4,3,175,5,dt870_atualizacao,24,dt870_atualizacao · PlayerBooster.bin · registro 24 · bit 175 · largura 5,true,false,true,ausente_comprovada,true,true,
26,PB:384:6,1,3,249,5,dt870_atualizacao,25,dt870_atualizacao · PlayerBooster.bin · registro 25 · bit 249 · largura 5,true,false,true,ausente_comprovada,true,true,
26,PB:448:6,2,3,229,5,dt870_atualizacao,25,dt870_atualizacao · PlayerBooster.bin · registro 25 · bit 229 · largura 5,true,false,true,ausente_comprovada,true,true,
26,PB:524:6,3,3,122,5,dt870_atualizacao,25,dt870_atualizacao · PlayerBooster.bin · registro 25 · bit 122 · largura 5,true,false,true,ausente_comprovada,true,true,
26,PB:428:6,4,3,185,5,dt870_atualizacao,25,dt870_atualizacao · PlayerBooster.bin · registro 25 · bit 185 · largura 5,true,false,true,ausente_comprovada,true,true,
27,PB:504:6,1,3,149,5,dt870_atualizacao,26,dt870_atualizacao · PlayerBooster.bin · registro 26 · bit 149 · largura 5,true,false,true,ausente_comprovada,true,true,
27,PB:492:6,2,3,239,5,dt870_atualizacao,26,dt870_atualizacao · PlayerBooster.bin · registro 26 · bit 239 · largura 5,true,false,true,ausente_comprovada,true,true,
27,PB:434:6,3,3,180,5,dt870_atualizacao,26,dt870_atualizacao · PlayerBooster.bin · registro 26 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
27,PB:550:6,4,3,271,5,dt870_atualizacao,26,dt870_atualizacao · PlayerBooster.bin · registro 26 · bit 271 · largura 5,true,false,true,ausente_comprovada,true,true,
28,PB:396:6,1,3,276,5,dt870_atualizacao,27,dt870_atualizacao · PlayerBooster.bin · registro 27 · bit 276 · largura 5,true,false,true,ausente_comprovada,true,true,
28,PB:492:6,2,3,239,5,dt870_atualizacao,27,dt870_atualizacao · PlayerBooster.bin · registro 27 · bit 239 · largura 5,true,false,true,ausente_comprovada,true,true,
28,PB:524:6,3,3,122,5,dt870_atualizacao,27,dt870_atualizacao · PlayerBooster.bin · registro 27 · bit 122 · largura 5,true,false,true,ausente_comprovada,true,true,
28,PB:550:6,4,3,271,5,dt870_atualizacao,27,dt870_atualizacao · PlayerBooster.bin · registro 27 · bit 271 · largura 5,true,false,true,ausente_comprovada,true,true,
29,PB:390:6,1,3,261,5,dt870_atualizacao,28,dt870_atualizacao · PlayerBooster.bin · registro 28 · bit 261 · largura 5,true,true,true,ausente_comprovada,true,true,
29,PB:486:6,2,3,217,5,dt870_atualizacao,28,dt870_atualizacao · PlayerBooster.bin · registro 28 · bit 217 · largura 5,true,true,true,ausente_comprovada,true,true,
29,PB:408:6,3,3,160,5,dt870_atualizacao,28,dt870_atualizacao · PlayerBooster.bin · registro 28 · bit 160 · largura 5,true,true,true,ausente_comprovada,true,true,
29,PB:454:6,4,3,234,5,dt870_atualizacao,28,dt870_atualizacao · PlayerBooster.bin · registro 28 · bit 234 · largura 5,true,true,true,ausente_comprovada,true,true,
30,PB:390:6,1,3,261,5,dt870_atualizacao,29,dt870_atualizacao · PlayerBooster.bin · registro 29 · bit 261 · largura 5,true,false,true,ausente_comprovada,true,true,
30,PB:434:6,2,3,180,5,dt870_atualizacao,29,dt870_atualizacao · PlayerBooster.bin · registro 29 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
30,PB:480:6,3,3,202,5,dt870_atualizacao,29,dt870_atualizacao · PlayerBooster.bin · registro 29 · bit 202 · largura 5,true,false,true,ausente_comprovada,true,true,
30,PB:454:6,4,3,234,5,dt870_atualizacao,29,dt870_atualizacao · PlayerBooster.bin · registro 29 · bit 234 · largura 5,true,false,true,ausente_comprovada,true,true,
31,PB:504:6,1,3,149,5,dt870_atualizacao,30,dt870_atualizacao · PlayerBooster.bin · registro 30 · bit 149 · largura 5,true,false,true,ausente_comprovada,true,true,
31,PB:486:6,2,3,217,5,dt870_atualizacao,30,dt870_atualizacao · PlayerBooster.bin · registro 30 · bit 217 · largura 5,true,false,true,ausente_comprovada,true,true,
31,PB:434:6,3,3,180,5,dt870_atualizacao,30,dt870_atualizacao · PlayerBooster.bin · registro 30 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
31,PB:480:6,4,3,202,5,dt870_atualizacao,30,dt870_atualizacao · PlayerBooster.bin · registro 30 · bit 202 · largura 5,true,false,true,ausente_comprovada,true,true,
32,PB:504:6,1,3,149,5,dt870_atualizacao,31,dt870_atualizacao · PlayerBooster.bin · registro 31 · bit 149 · largura 5,true,true,true,ausente_comprovada,true,true,
32,PB:408:6,2,3,160,5,dt870_atualizacao,31,dt870_atualizacao · PlayerBooster.bin · registro 31 · bit 160 · largura 5,true,true,true,ausente_comprovada,true,true,
32,PB:518:6,3,3,175,5,dt870_atualizacao,31,dt870_atualizacao · PlayerBooster.bin · registro 31 · bit 175 · largura 5,true,true,true,ausente_comprovada,true,true,
32,PB:480:6,4,3,202,5,dt870_atualizacao,31,dt870_atualizacao · PlayerBooster.bin · registro 31 · bit 202 · largura 5,true,true,true,ausente_comprovada,true,true,
33,PB:416:6,1,3,165,5,dt870_atualizacao,32,dt870_atualizacao · PlayerBooster.bin · registro 32 · bit 165 · largura 5,true,true,true,ausente_comprovada,true,true,
33,PB:472:6,3,3,,5,dt870_atualizacao,32,dt870_atualizacao · PlayerBooster.bin · registro 32 · conjunto GK bits 192/197/256,true,true,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
33,PB:466:6,2,3,,5,dt870_atualizacao,32,dt870_atualizacao · PlayerBooster.bin · registro 32 · conjunto GK bits 192/197/256,true,true,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
33,PB:460:6,4,3,,5,dt870_atualizacao,32,dt870_atualizacao · PlayerBooster.bin · registro 32 · conjunto GK bits 192/197/256,true,true,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
34,PB:396:6,1,4,276,5,dt870_atualizacao,33,dt870_atualizacao · PlayerBooster.bin · registro 33 · bit 276 · largura 5,true,true,true,ausente_comprovada,true,true,
34,PB:530:6,2,4,244,5,dt870_atualizacao,33,dt870_atualizacao · PlayerBooster.bin · registro 33 · bit 244 · largura 5,true,true,true,ausente_comprovada,true,true,
34,PB:384:6,3,4,249,5,dt870_atualizacao,33,dt870_atualizacao · PlayerBooster.bin · registro 33 · bit 249 · largura 5,true,true,true,ausente_comprovada,true,true,
34,PB:518:6,4,4,175,5,dt870_atualizacao,33,dt870_atualizacao · PlayerBooster.bin · registro 33 · bit 175 · largura 5,true,true,true,ausente_comprovada,true,true,
36,PB:530:6,1,4,244,5,dt870_atualizacao,35,dt870_atualizacao · PlayerBooster.bin · registro 35 · bit 244 · largura 5,true,false,true,ausente_comprovada,true,true,
36,PB:402:6,2,4,281,5,dt870_atualizacao,35,dt870_atualizacao · PlayerBooster.bin · registro 35 · bit 281 · largura 5,true,false,true,ausente_comprovada,true,true,
36,PB:408:6,3,4,160,5,dt870_atualizacao,35,dt870_atualizacao · PlayerBooster.bin · registro 35 · bit 160 · largura 5,true,false,true,ausente_comprovada,true,true,
36,PB:518:6,4,4,175,5,dt870_atualizacao,35,dt870_atualizacao · PlayerBooster.bin · registro 35 · bit 175 · largura 5,true,false,true,ausente_comprovada,true,true,
37,PB:384:6,1,4,249,5,dt870_atualizacao,36,dt870_atualizacao · PlayerBooster.bin · registro 36 · bit 249 · largura 5,true,false,true,ausente_comprovada,true,true,
37,PB:448:6,2,4,229,5,dt870_atualizacao,36,dt870_atualizacao · PlayerBooster.bin · registro 36 · bit 229 · largura 5,true,false,true,ausente_comprovada,true,true,
37,PB:524:6,3,4,122,5,dt870_atualizacao,36,dt870_atualizacao · PlayerBooster.bin · registro 36 · bit 122 · largura 5,true,false,true,ausente_comprovada,true,true,
37,PB:428:6,4,4,185,5,dt870_atualizacao,36,dt870_atualizacao · PlayerBooster.bin · registro 36 · bit 185 · largura 5,true,false,true,ausente_comprovada,true,true,
38,PB:504:6,1,4,149,5,dt870_atualizacao,37,dt870_atualizacao · PlayerBooster.bin · registro 37 · bit 149 · largura 5,true,false,true,ausente_comprovada,true,true,
38,PB:492:6,2,4,239,5,dt870_atualizacao,37,dt870_atualizacao · PlayerBooster.bin · registro 37 · bit 239 · largura 5,true,false,true,ausente_comprovada,true,true,
38,PB:434:6,3,4,180,5,dt870_atualizacao,37,dt870_atualizacao · PlayerBooster.bin · registro 37 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
38,PB:550:6,4,4,271,5,dt870_atualizacao,37,dt870_atualizacao · PlayerBooster.bin · registro 37 · bit 271 · largura 5,true,false,true,ausente_comprovada,true,true,
39,PB:396:6,1,4,276,5,dt870_atualizacao,38,dt870_atualizacao · PlayerBooster.bin · registro 38 · bit 276 · largura 5,true,true,true,ausente_comprovada,true,true,
39,PB:492:6,2,4,239,5,dt870_atualizacao,38,dt870_atualizacao · PlayerBooster.bin · registro 38 · bit 239 · largura 5,true,true,true,ausente_comprovada,true,true,
39,PB:524:6,3,4,122,5,dt870_atualizacao,38,dt870_atualizacao · PlayerBooster.bin · registro 38 · bit 122 · largura 5,true,true,true,ausente_comprovada,true,true,
39,PB:550:6,4,4,271,5,dt870_atualizacao,38,dt870_atualizacao · PlayerBooster.bin · registro 38 · bit 271 · largura 5,true,true,true,ausente_comprovada,true,true,
40,PB:390:6,1,4,261,5,dt870_atualizacao,39,dt870_atualizacao · PlayerBooster.bin · registro 39 · bit 261 · largura 5,true,false,true,ausente_comprovada,true,true,
40,PB:486:6,2,4,217,5,dt870_atualizacao,39,dt870_atualizacao · PlayerBooster.bin · registro 39 · bit 217 · largura 5,true,false,true,ausente_comprovada,true,true,
40,PB:408:6,3,4,160,5,dt870_atualizacao,39,dt870_atualizacao · PlayerBooster.bin · registro 39 · bit 160 · largura 5,true,false,true,ausente_comprovada,true,true,
40,PB:454:6,4,4,234,5,dt870_atualizacao,39,dt870_atualizacao · PlayerBooster.bin · registro 39 · bit 234 · largura 5,true,false,true,ausente_comprovada,true,true,
41,PB:390:6,1,4,261,5,dt870_atualizacao,40,dt870_atualizacao · PlayerBooster.bin · registro 40 · bit 261 · largura 5,true,false,true,ausente_comprovada,true,true,
41,PB:434:6,2,4,180,5,dt870_atualizacao,40,dt870_atualizacao · PlayerBooster.bin · registro 40 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
41,PB:480:6,3,4,202,5,dt870_atualizacao,40,dt870_atualizacao · PlayerBooster.bin · registro 40 · bit 202 · largura 5,true,false,true,ausente_comprovada,true,true,
41,PB:454:6,4,4,234,5,dt870_atualizacao,40,dt870_atualizacao · PlayerBooster.bin · registro 40 · bit 234 · largura 5,true,false,true,ausente_comprovada,true,true,
42,PB:504:6,1,4,149,5,dt870_atualizacao,41,dt870_atualizacao · PlayerBooster.bin · registro 41 · bit 149 · largura 5,true,false,true,ausente_comprovada,true,true,
42,PB:486:6,2,4,217,5,dt870_atualizacao,41,dt870_atualizacao · PlayerBooster.bin · registro 41 · bit 217 · largura 5,true,false,true,ausente_comprovada,true,true,
42,PB:434:6,3,4,180,5,dt870_atualizacao,41,dt870_atualizacao · PlayerBooster.bin · registro 41 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
42,PB:480:6,4,4,202,5,dt870_atualizacao,41,dt870_atualizacao · PlayerBooster.bin · registro 41 · bit 202 · largura 5,true,false,true,ausente_comprovada,true,true,
44,PB:416:6,1,4,165,5,dt870_atualizacao,43,dt870_atualizacao · PlayerBooster.bin · registro 43 · bit 165 · largura 5,true,true,true,ausente_comprovada,true,true,
44,PB:472:6,3,4,,5,dt870_atualizacao,43,dt870_atualizacao · PlayerBooster.bin · registro 43 · conjunto GK bits 192/197/256,true,true,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
44,PB:466:6,2,4,,5,dt870_atualizacao,43,dt870_atualizacao · PlayerBooster.bin · registro 43 · conjunto GK bits 192/197/256,true,true,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
44,PB:460:6,4,4,,5,dt870_atualizacao,43,dt870_atualizacao · PlayerBooster.bin · registro 43 · conjunto GK bits 192/197/256,true,true,true,ausente_comprovada,false,false,permutacao_semantica_dos_tres_campos_gk
45,PB:396:6,1,5,276,5,dt870_atualizacao,44,dt870_atualizacao · PlayerBooster.bin · registro 44 · bit 276 · largura 5,true,false,true,ausente_comprovada,true,true,
45,PB:530:6,2,5,244,5,dt870_atualizacao,44,dt870_atualizacao · PlayerBooster.bin · registro 44 · bit 244 · largura 5,true,false,true,ausente_comprovada,true,true,
45,PB:384:6,3,5,249,5,dt870_atualizacao,44,dt870_atualizacao · PlayerBooster.bin · registro 44 · bit 249 · largura 5,true,false,true,ausente_comprovada,true,true,
45,PB:518:6,4,5,175,5,dt870_atualizacao,44,dt870_atualizacao · PlayerBooster.bin · registro 44 · bit 175 · largura 5,true,false,true,ausente_comprovada,true,true,
49,PB:504:6,1,5,149,5,dt870_atualizacao,48,dt870_atualizacao · PlayerBooster.bin · registro 48 · bit 149 · largura 5,true,true,true,ausente_comprovada,true,true,
49,PB:492:6,2,5,239,5,dt870_atualizacao,48,dt870_atualizacao · PlayerBooster.bin · registro 48 · bit 239 · largura 5,true,true,true,ausente_comprovada,true,true,
49,PB:434:6,3,5,180,5,dt870_atualizacao,48,dt870_atualizacao · PlayerBooster.bin · registro 48 · bit 180 · largura 5,true,true,true,ausente_comprovada,true,true,
49,PB:550:6,4,5,271,5,dt870_atualizacao,48,dt870_atualizacao · PlayerBooster.bin · registro 48 · bit 271 · largura 5,true,true,true,ausente_comprovada,true,true,
50,PB:396:6,1,5,276,5,dt870_atualizacao,49,dt870_atualizacao · PlayerBooster.bin · registro 49 · bit 276 · largura 5,true,false,true,ausente_comprovada,true,true,
50,PB:492:6,2,5,239,5,dt870_atualizacao,49,dt870_atualizacao · PlayerBooster.bin · registro 49 · bit 239 · largura 5,true,false,true,ausente_comprovada,true,true,
50,PB:524:6,3,5,122,5,dt870_atualizacao,49,dt870_atualizacao · PlayerBooster.bin · registro 49 · bit 122 · largura 5,true,false,true,ausente_comprovada,true,true,
50,PB:550:6,4,5,271,5,dt870_atualizacao,49,dt870_atualizacao · PlayerBooster.bin · registro 49 · bit 271 · largura 5,true,false,true,ausente_comprovada,true,true,
56,PB:486:6,1,4,217,5,dt870_atualizacao,55,dt870_atualizacao · PlayerBooster.bin · registro 55 · bit 217 · largura 5,true,false,true,ausente_comprovada,true,true,
56,PB:530:6,2,4,244,5,dt870_atualizacao,55,dt870_atualizacao · PlayerBooster.bin · registro 55 · bit 244 · largura 5,true,false,true,ausente_comprovada,true,true,
56,PB:402:6,3,4,281,5,dt870_atualizacao,55,dt870_atualizacao · PlayerBooster.bin · registro 55 · bit 281 · largura 5,true,false,true,ausente_comprovada,true,true,
56,PB:434:6,4,4,180,5,dt870_atualizacao,55,dt870_atualizacao · PlayerBooster.bin · registro 55 · bit 180 · largura 5,true,false,true,ausente_comprovada,true,true,
57,PB:492:6,1,4,239,5,dt870_atualizacao,56,dt870_atualizacao · PlayerBooster.bin · registro 56 · bit 239 · largura 5,true,false,true,ausente_comprovada,true,true,
57,PB:530:6,2,4,244,5,dt870_atualizacao,56,dt870_atualizacao · PlayerBooster.bin · registro 56 · bit 244 · largura 5,true,false,true,ausente_comprovada,true,true,
57,PB:384:6,3,4,249,5,dt870_atualizacao,56,dt870_atualizacao · PlayerBooster.bin · registro 56 · bit 249 · largura 5,true,false,true,ausente_comprovada,true,true,
57,PB:524:6,4,4,122,5,dt870_atualizacao,56,dt870_atualizacao · PlayerBooster.bin · registro 56 · bit 122 · largura 5,true,false,true,ausente_comprovada,true,true,
58,PB:504:6,1,4,149,5,dt870_atualizacao,57,dt870_atualizacao · PlayerBooster.bin · registro 57 · bit 149 · largura 5,true,false,true,ausente_comprovada,true,true,
58,PB:492:6,2,4,239,5,dt870_atualizacao,57,dt870_atualizacao · PlayerBooster.bin · registro 57 · bit 239 · largura 5,true,false,true,ausente_comprovada,true,true,
58,PB:518:6,3,4,175,5,dt870_atualizacao,57,dt870_atualizacao · PlayerBooster.bin · registro 57 · bit 175 · largura 5,true,false,true,ausente_comprovada,true,true,
