codigo_jogo,fonte_preferida,registro_preferido,tipo_efeito_fisico,nivel_fisico,presente_dt200,presente_dt870_original,presente_dt870_atualizacao,dicionario_existente,condicional_dicionario,condicao_estado,nome_dicionario,record_sha256,receita_fisica_disponivel
49,dt870_atualizacao,48,0,5,true,true,true,true,false,ausente_comprovada,Condução Técnica,a1dfcc8cb3c4de4613ae431a726c2f55cd7263903c6834a7033e5d449bd3e6bf,true
50,dt870_atualizacao,49,0,5,true,false,true,true,false,ausente_comprovada,Técnica,076258c103e6b64b8dfe4c607cace8a3786e811fd0aabf6fd3cf2a72801a6fb1,true
51,dt870_atualizacao,50,0,5,true,false,true,false,,nao_avaliada,,2a6655046c73e66101dddc62895aa3399eefbb0f2430df1f5a8b817e36de15fe,true
52,dt870_atualizacao,51,0,5,true,false,true,false,,nao_avaliada,,5a832a89af90268587f2377b75b272ed473c66455e9525692e3ef125210c885a,true
53,dt870_atualizacao,52,0,5,true,false,true,false,,nao_avaliada,,0446d7228d60899bfb8a8143e62fbee9a87af5d9f4a74a5d0bd4fefa1920a797,true
54,dt870_atualizacao,53,0,5,true,true,true,false,,nao_avaliada,,a74a475006b44995346bc19705ff264b4c3f1208fb3277c68f7e5607370133fe,true
55,dt870_atualizacao,54,0,5,true,false,true,false,,nao_avaliada,,8d9b8e96b85825069af7f2a0774f6cbf58ba839657825504d6a1c29db3cf28e2,true
56,dt870_atualizacao,55,3,4,true,false,true,true,false,ausente_comprovada,Bearer of Fate,fbe6b9b9464e47104b57e0b9a71521fcf95264eff3920a44d783487d04cf7f4d,true
57,dt870_atualizacao,56,3,4,true,false,true,true,false,ausente_comprovada,Son of God,ef463ada888e11fa67ed89509ee59ad8f0a7875669ef3d03ee0ea0f7ecedd1bd,true
58,dt870_atualizacao,57,3,4,true,false,true,true,false,ausente_comprovada,King of Football,43eeda3e3d0882e24a6ac272c93349e7631698091000fbf263d135e1f8cae509,true
59,dt870_atualizacao,58,2,1,true,true,true,false,,nao_avaliada,,48e2f5c9027b455f449a610072580fe8fc7e017c782081f1f18f22500a1d830f,true
60,dt870_atualizacao,59,2,2,true,false,true,false,,nao_avaliada,,a0a7a24f3bf8537aa63bcf93244e32dc530502c6f5fa2d80491c875556e6f83a,true
61,dt870_atualizacao,60,2,3,true,false,true,false,,nao_avaliada,,0cf36f90299bf9197fb739e3b394bc495cfa7b28659d9baeb785642504c0059e,true
62,dt870_atualizacao,61,2,4,true,false,true,false,,nao_avaliada,,17ab2ac107c0139599e6e11ab296e0f353db7e9f883b8d182bb0415f84912417,true
63,dt870_atualizacao,62,2,5,true,false,true,false,,nao_avaliada,,9bef092af23cb8aeb1e4a3004f98708e84e6e8a5b395687aa351c33e4567d7b6,true
64,dt870_atualizacao,63,0,1,true,true,true,true,false,ausente_comprovada,Instinto Artilheiro,8d39bf837f1d3a5a25a3bb29ccdd11cb258f067870daa0dff2bada02613b3273,true
65,dt870_atualizacao,64,0,1,true,true,true,false,,nao_avaliada,,439e2af1753f40ebce567683c20b1cd9ec9f3ccbc420a88d3d009be591dabeda,true
66,dt870_atualizacao,65,0,1,true,false,true,false,,nao_avaliada,,0d5b27155fb862ee04ff9cf1801e4214f32711440f70442194c5b0875030c71a,true
67,dt870_atualizacao,66,0,1,true,false,true,false,,nao_avaliada,,1182baf24342fb173e535530f19c02211e5f623b5ea593ba23caddf1c1e9dfae,true
68,dt870_atualizacao,67,0,1,true,false,true,false,,nao_avaliada,,38967f12d3507c774d6f900b7a3a90be5c3c88bcdae0f83542f269b2b9dadc8f,true
69,dt870_atualizacao,68,0,1,true,true,true,true,false,ausente_comprovada,Fantasia,b0a95cce655ce5f5b32b67ea599f097676ac71c42e31d38ea0fc5a84bf673cb6,true
70,dt870_atualizacao,69,0,2,true,false,true,true,false,ausente_comprovada,Instinto Artilheiro,1fc1f3f02fc6332fd285d1481f45d801321d6189dd9317e2b5f24a8b73f252e8,true
71,dt870_atualizacao,70,0,2,true,false,true,true,false,ausente_comprovada,Duelo,478deefd8a30d25309f4a2f7e68630cb55c170857689f719bdab1e3781e188f5,true
72,dt870_atualizacao,71,0,2,true,false,true,true,false,ausente_comprovada,Motor do Time,b7384a5f2449746996be5b1b8b687ec9ba94c4c3d2c7024d1ee699c2381b0dd1,true
73,dt870_atualizacao,72,0,2,true,false,true,true,false,ausente_comprovada,Defesaça,15c3933d0b10456f4f66df1ee14986ed774280c7ab6516e08fa0347fd96ffcd6,true
74,dt870_atualizacao,73,0,2,true,true,true,true,false,ausente_comprovada,Cruzamento,af1ff065313d0abac0d29b2d19f3f97ce3b1e5d3b65dab0147f4c67a1cbc6f84,true
75,dt870_atualizacao,74,0,2,true,false,true,true,false,ausente_comprovada,Fantasia,7860abfae78f0977183b6b3d5b9f309a1d93c86fbce3a0eca766e70a0c18a843,true
76,dt870_atualizacao,75,0,3,true,false,true,true,false,ausente_comprovada,Instinto Artilheiro,c17e97fed8cfaf8e97e853aa76a62e87cd4e762b84b173e16e99aecadf5d366b,true
77,dt870_atualizacao,76,0,3,true,false,true,true,false,ausente_comprovada,Duelo,1ad2843fbf22076c78264b210b648b99b23e8f4bbdb6b5287cbb1eb3160c4f35,true
78,dt870_atualizacao,77,0,3,true,false,true,true,false,ausente_comprovada,Motor do Time,f09654057b1418561bc7bfc19887ce3aeb3e78a321520a36bc414afed3557c1d,true
79,dt870_atualizacao,78,0,3,true,true,true,true,false,ausente_comprovada,Defesaça,a3bf0de6a4f5d4e51aaa4c969bda87b89a870a9cfcfc3a8bc66b893d369bd28c,true
80,dt870_atualizacao,79,0,3,true,false,true,true,false,ausente_comprovada,Cruzamento,352fe39c4edc79a0e0a8c2ea54401ebdb6d527e00b43f8149f5fca83b0be2fca,true
81,dt870_atualizacao,80,0,3,true,false,true,true,false,ausente_comprovada,Fantasia,27c3896a4ed71e034fcb4f51a4355ed093dc6160a43a87b7523b1ec256d6a753,true
82,dt870_atualizacao,81,0,4,true,false,true,true,false,ausente_comprovada,Instinto Artilheiro,73e3a0f199aa56404bdaea1f24109252d43a30de85554a2c0010217b5ded08b1,true
83,dt870_atualizacao,82,0,4,true,false,true,true,false,ausente_comprovada,Duelo,950c92508a0b54bc4bc7d9502355644f3dcb8cc5031032541ff2749a4d6b9d25,true
84,dt870_atualizacao,83,0,4,true,true,true,true,false,ausente_comprovada,Motor do Time,e69747b9d5fb218e592955b99ad751d5162cc7d624d98ee8dc38f5a507f6a6d1,true
85,dt870_atualizacao,84,0,4,true,false,true,true,false,ausente_comprovada,Defesaça,650f0245ec46565ec4566cb91df090ce92f318126b966ddfae8eae1d30f1382b,true
86,dt870_atualizacao,85,0,4,true,false,true,true,false,ausente_comprovada,Cruzamento,03cc5bc84e840a829bd0e0ce67e9df892081cf6e6df49ebd7c84e2e2322dc7bf,true
87,dt870_atualizacao,86,0,4,true,false,true,true,false,ausente_comprovada,Fantasia,2537c7f44d7ddc982816c8a108b07c76b61f6e48f2916f18398eb55f7573e89f,true
88,dt870_atualizacao,87,0,5,true,false,true,false,,nao_avaliada,,19766cd508ecea2fbc2209def7d816e0886144644d9f6378b910179814740490,true
89,dt870_atualizacao,88,0,5,true,true,true,false,,nao_avaliada,,2834c5d3ad4a248b9804737612a17fc813c2d967f99cbeb72c79480c38707229,true
90,dt870_atualizacao,89,0,5,true,false,true,false,,nao_avaliada,,a38af1f9f38a8832055587712a9101ed10079a5adbb14f7c9e3d321e7d0bc7fc,true
91,dt870_atualizacao,90,0,5,true,false,true,false,,nao_avaliada,,5b4535c110c1eb935e240840d9f60073c9a07319461507785bc567bf16730319,true
92,dt870_atualizacao,91,0,5,true,false,true,false,,nao_avaliada,,4adfc88594fdb6620a79c88b30761b59655c3ff46356e187525a2ac5b2db50ff,true
93,dt870_atualizacao,92,0,5,true,false,true,false,,nao_avaliada,,78f3ae88f47de9e942037817c0631a86adc697afc63fc7dccb52097b3416d480,true
94,dt870_atualizacao,93,2,1,true,true,true,false,,nao_avaliada,,e0a7a8180b7b510e3169a5b21d4787faf2c5b9d871559c0898d7fa0a21adea73,true
95,dt870_atualizacao,94,2,2,true,false,true,false,,nao_avaliada,,920a48fbb247803eed4288510a1a73e1f0201a5db47ab099b043be3771c89b71,true
96,dt870_atualizacao,95,2,3,true,true,true,true,true,presente_sem_semantica,Total Package,c8457bb06917cd303139459d8d451162f61630eb4a23735df716b07755c2e924,true
97,dt870_atualizacao,96,2,4,true,true,true,false,,nao_avaliada,,dc572834c988a4699403df2758a831a19f7820dc6978062fb61f390ea3455032,true
98,dt870_atualizacao,97,2,5,true,false,true,false,,nao_avaliada,,5c69b767f743f92ce9b4462b0f15373d3de7f3c89ca69d510ab79bfd9898e90a,true
99,dt870_atualizacao,98,2,1,true,true,true,false,,nao_avaliada,,b9c5cae363b398eaf481f1e6ba22bc935cbea39e5c772cf928f9d5fcc0055b3e,true
100,dt870_atualizacao,99,2,2,true,false,true,false,,nao_avaliada,,14095cb7855b71c75949492c9e98fc1ea84348955bf7f544c5d7805a5d3bb4fe,true
101,dt870_atualizacao,100,2,3,true,false,true,true,true,presente_sem_semantica,Total Package,e8b482613428977b7f79f70401ae3d47737a395b3deda4fcbdca5195ada049e5,true
102,dt870_atualizacao,101,2,4,true,false,true,false,,nao_avaliada,,860986add6950c889637c946ecfd85d16c9b6e36681bdf34e0b7d01ef0aec309,true
103,dt870_atualizacao,102,2,5,true,false,true,false,,nao_avaliada,,bda69808736546c3cfd637db9eac047844674d99a83800c9d52fede9ae2427cd,true
104,dt870_atualizacao,103,1,3,true,true,true,true,false,ausente_comprovada,Chute,8bfeb85fc9ed06866327f711d09da18ad8c2f0066cbbb9816847d3dd12f7e980,true
105,dt870_atualizacao,104,1,3,true,false,true,true,false,ausente_comprovada,Cobrança de Falta,434ee97e9a2ba5b7fd4fa3d0a5fc32ff2820bf73ca3710486ddab1b490b0f5e8,true
106,dt870_atualizacao,105,1,3,true,false,true,true,false,ausente_comprovada,Disputa Aérea,87bf35078546a8586706e595cb21eaba68b801cb019f7a889e3ee5ced5bccf39,true
107,dt870_atualizacao,106,1,3,true,false,true,true,false,ausente_comprovada,Passe,43efe646f867d47f809ec02c9d8d3554f3d913cb15d5cc681d010513387fd8db,true
108,dt870_atualizacao,107,1,3,true,false,true,true,false,ausente_comprovada,Condução Técnica,2aa0a21d106e9fb1ce41ed51f968fd5975049c38d50d2c75aa8d6a4b0e801e4c,true
109,dt870_atualizacao,108,1,3,true,true,true,true,false,ausente_comprovada,Técnica,51b78938b9a700db0f47476e41c1853ed151436c5f785c4d7d37e4a27cd37ae6,true
110,dt870_atualizacao,109,1,3,true,false,true,true,false,ausente_comprovada,Defesa,a65e13c63f904ba199efc112ab72295c785a9d8ba45ccd50b6b83a3db32eec10,true
111,dt870_atualizacao,110,1,3,true,false,true,true,false,ausente_comprovada,Duelo (Divididas),41ba551be2f492d4d6e3180afe569faabe6d0b73e7466b27bc5fdcc2b0aaaebe,true
112,dt870_atualizacao,111,1,3,true,false,true,true,false,ausente_comprovada,Agilidade,462b3ffdae64d018ff4757fae0601db3f2501842379e4f7aacf01d3046bdfb99,true
113,dt870_atualizacao,112,1,3,true,false,true,true,false,ausente_comprovada,Vigor Físico,2083b0bd04eb873338304ba593834398097cc23ba66ef8e40de6f5425273b981,true
114,dt870_atualizacao,113,1,3,true,true,true,true,false,ausente_comprovada,Goalkeeping,561c64b6c387d91d77bd53c1b572dfb0031d0cf3f8dbbe4c20b7773c05fac751,true
115,dt870_atualizacao,114,1,3,true,false,true,true,false,ausente_comprovada,Instinto Artilheiro,2022351b9d979f03b2e8ffb9fa6dbbc80711a995b144937c3933f7d97a19cd45,true
116,dt870_atualizacao,115,1,3,true,false,true,true,false,ausente_comprovada,Duelo,c662f0541c872a5de96a7bef1c3c9e7b1c8229504cbd99818b78abc72ddab9f8,true
117,dt870_atualizacao,116,1,3,true,false,true,true,false,ausente_comprovada,Motor do Time,71362ee652a51c1b740a8e4ca8856f75d5afc5474bb6f5874bbfe97fe59acb3c,true
118,dt870_atualizacao,117,1,3,true,false,true,true,false,ausente_comprovada,Defesaça,6c668a15c3b6bf22ed3be38e0fd9d207c99b8727f5bdf2f96b7fc46ecb4c277e,true
119,dt870_atualizacao,118,1,3,true,true,true,true,false,ausente_comprovada,Cruzamento,3e87c2de502361602bebebd59c02ca88d4f172909ce5300a3797fa3578531b4d,true
120,dt870_atualizacao,119,1,3,true,false,true,true,false,ausente_comprovada,Fantasia,e33141392e16d20b2c30f79a1e8b6252b186056dbc470dc506a8ab18bb666a05,true
121,dt870_atualizacao,120,1,3,true,false,true,false,,nao_avaliada,,68b6b673af797cb0ab8a062b6be239c665f968aaa824ac7406ac148325dd9ade,true
122,dt870_atualizacao,121,2,3,true,false,true,true,true,presente_sem_semantica,Chute,5fe7cd0a9400ba11cab48a33dd531aa95822ed44eff54e8e3523d8d815f283b3,true
123,dt870_atualizacao,122,2,3,true,false,true,true,true,presente_sem_semantica,Disputa Aérea,51070692c0736674f5ce5f9cfc980c438c44fdc91a09c79d246454c3cf719b0c,true
124,dt870_atualizacao,123,2,3,true,true,true,true,true,presente_sem_semantica,Passe,d7bc579dbf4214405698e95b5d05a6dbcc34df00ffee94f9d85cbebbbdafe87f,true
125,dt870_atualizacao,124,2,3,true,false,true,true,true,presente_sem_semantica,Condução Técnica,1e48d276f58b69dcb91347fd4396251cfd1ff4fe7e90d156598c1f05ab2f18bd,true
126,dt870_atualizacao,125,2,3,true,false,true,true,true,presente_sem_semantica,Técnica,5ae6911ccec4240f8b7dbe1b253401848c23944a251e33e28f5a9b624ff76e7e,true
127,dt870_atualizacao,126,2,3,true,false,true,true,true,presente_sem_semantica,Agilidade,534b22b8ccfc69d844077419e74a2083ab9b88802cb92593d67e4455f932e7b7,true
128,dt870_atualizacao,127,2,3,true,false,true,true,true,presente_sem_semantica,Vigor Físico,deaa1cf7ebd13ea252bf8b7a1c643255e95d62d2b1145d15a802f92520f16cf0,true
129,dt870_atualizacao,128,2,3,true,true,true,true,true,presente_sem_semantica,Instinto Artilheiro,538a6e40f303c7970e40a8baa7ed3db55edc0d5035cdc9b894396d92ae2dc2e1,true
130,dt870_atualizacao,129,2,3,true,true,true,true,true,presente_sem_semantica,Motor do Time,f47d4ffa75653e453b8b82f21c0c81defe625b44b2abd543adaad9709209e3bb,true
131,dt870_atualizacao,130,2,3,true,false,true,true,true,presente_sem_semantica,Fantasia,5ece9bc750c0bf9edeffdbe5bbc2b62d7ce0bbe0a540b3bd4334ec90dadc4f40,true
132,dt870_atualizacao,131,2,3,true,false,true,true,true,presente_sem_semantica,Total Package,50b50b794628a037ec3bf2babf3db5954444c9d76ccd43b7a80ca1802bbc0765,true
133,dt870_atualizacao,132,2,3,true,false,true,true,true,presente_sem_semantica,Total Package,0cc50a9367505779e164af0f1c023fd6ce6d05a28ad0fe4b1f4318cbe13c17b5,true
134,dt870_atualizacao,133,3,3,true,true,true,true,false,ausente_comprovada,The Undisputed,b76ce67713c8a22db5dd0c4f47fc7dae564a4f5131ad85b213377e4e5de3bca9,true
135,dt870_atualizacao,134,3,3,true,false,true,true,false,ausente_comprovada,Le Petit Prince,056f23e27540d8d655e245c5125c386ab33b705b3c951111781c613aee4e3789,true
136,dt870_atualizacao,135,4,1,true,false,true,false,,nao_avaliada,,aff7cf0da0ace25237bb6630f4c022017b4005510463834601bef3d7544f5dcb,true
137,dt200,136,4,2,true,false,false,false,,nao_avaliada,,20549be487205bb9f2942a63c16fd19a6c29e3dc9846df311a16de796ae790a2,true
138,dt200,137,4,3,true,false,false,false,,nao_avaliada,,82df52ef50c7b6c1abfc49eecf90be1f11a566a13ab9efc130e474bdf7886320,true
139,dt200,138,4,4,true,true,false,false,,nao_avaliada,,b7fb4273c7f4e2a88d19d5835d998f1d743fff4d940c721494c03c0ee33d7b8e,true
140,dt200,139,4,5,true,false,false,false,,nao_avaliada,,31ccfea0680580b89f94040d562ea3d9a845420aba1efd0cc0fe47b767fd4ce7,true
142,dt870_atualizacao,136,3,4,true,false,true,true,false,ausente_comprovada,Magical,b436b6a604a43295f88c67ba0907144132c9328d5ecfefd3e501532ba8385cb8,true
143,dt870_atualizacao,137,3,4,true,false,true,true,false,ausente_comprovada,Striking,f6bb190a245bc21f8d6fde6cd0b2e73b2260c78baac68f71775ef49fcb24025e,true
144,dt870_atualizacao,138,3,4,true,true,true,true,false,ausente_comprovada,Natural-born,cf288851bcb93faedc6d6755b00c36aa0152e5d727480cc1930b19a5ecf70ca4,true
145,dt870_atualizacao,139,0,2,true,false,true,true,false,ausente_comprovada,Regista,495060f556542676757c4ee2beb979e2d6cfe7b17b16868bab76fe2e5efadd80,true
146,dt870_atualizacao,140,0,2,true,false,true,true,false,ausente_comprovada,Reconstrução,ca5056ca83a18692220d1e4363b25765ac0413995b8f0eb9e6ffe865f3ba33a9,true
147,dt870_atualizacao,141,0,2,true,false,true,true,false,ausente_comprovada,Precisão,e2129233ef58b33de3c33cc227d22b0062b7af5687ef781029a12042eadac139,true
148,dt870_atualizacao,142,0,2,true,false,true,true,false,ausente_comprovada,Criador de Jogadas,7a5c883368880ca8bba1f99e240b747c94b38774a9666f4e2bd137f5ffd6f4df,true
149,dt870_atualizacao,143,0,2,true,true,true,true,false,ausente_comprovada,Física,e33d3f7572a3508a7dbbe1a71c9fb561e90d95daeaa96ff92880db3696199a30,true
150,dt870_atualizacao,144,0,2,true,false,true,true,false,ausente_comprovada,Equilibrista,32cf550d5c9b64519214c84e2faa4e86889ce6354f48244becd1bd10995afe54,true
151,dt870_atualizacao,145,0,2,true,false,true,true,false,ausente_comprovada,Contra-ataque,c8932d091fa737e0099419186e21f065ccae7e1210f19d2c8f72815d1a4ad44e,true
152,dt870_atualizacao,146,0,2,true,false,true,true,false,ausente_comprovada,Bloqueio Aéreo,80caaf65d341a110e7929efe4a9bd90c4bf8601c629aa84b355a13d32b4c8538,true
153,dt870_atualizacao,147,0,2,true,false,true,true,false,ausente_comprovada,Arrancada,1c27363ae813409866933cedaf9ce7bf75f6ad410ffdc1546cae2ac018aa5d68,true
154,dt870_atualizacao,148,0,2,true,true,true,true,false,ausente_comprovada,Força,2fba1dd386eb0055b74d7feac8a91f558db4c77e4851efd06ef8f8db77c55d06,true
155,dt870_atualizacao,149,0,2,true,false,true,true,false,ausente_comprovada,Sem Bola,227c268f40cc50bfb9b51fd80404b80ae2e00e7609c18f2d03cb7bdd32385006,true
156,dt870_atualizacao,150,0,2,true,false,true,true,false,ausente_comprovada,Defesa (Roubo),722f83c4735d70a1e9c2d0e182736e530f23171c1efa5dd5344c533cd7045aa4,true
157,dt870_atualizacao,151,0,4,true,false,true,true,false,ausente_comprovada,Força,d6953b8fd4332506126efb191bbb11ee713af85fe1eb3b3835724b61e35aa729,true
158,dt870_atualizacao,152,1,3,true,false,true,true,false,ausente_comprovada,Regista,ced645ed4065cda8d316b3359efb2608bf176887ea095ccd77b7ac0dc48bb5c7,true
159,dt870_atualizacao,153,1,3,true,true,true,true,false,ausente_comprovada,Reconstrução,287d85d36955b3b505529ae985c67660ac3872e64c664ece98f9cef0f0e11781,true
