PID,Name,Position,Height,Weight,Age,Foot,WeakFootUsage,WeakFootAccuracy,Form,InjuryResistance,Nationality,AttStyle,DefStyle,Aptitudes,进攻意识 Off.Aware,控球 Ball Control,盘带 Dribbling,紧密控球 Tight Poss,短传 Low Pass,高传 Lofted Pass,射门 Finishing,头球 Heading,定位球 Set Piece,弧线 Curl,防守意识 Def.Aware,抢断 Tackling,侵略性 Aggression,防守参与 Def.Engage,GK 扑救意识,GK 接球,GK 反应,GK 倒地扑救,GK 控制范围,速度 Speed,加速 Acceleration,踢球力量 Kick Power,弹跳 Jumping,身体对抗 Phys.,平衡 Balance,体力 Stamina,Skills,AIStyles
15033,Iikura Hiroki,GK,181,75,40,Right,Rarely,Medium,Standard,High,Japan,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,41,52,41,46,55,59,40,41,48,53,48,45,56,60,74,71,68,69,69,49,52,65,69,68,51,54,GK Low Punt,
15075,Ienaga Akihiro,RWF,175,72,40,Left,Regularly,High,Standard,Medium,Japan,Creative Playmaker,Basic,RMF=2|AMF=2|CB=0|CF=1|LMF=1|LWF=1|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=1,69,77,72,75,74,78,70,63,72,74,47,46,57,55,40,40,40,40,40,66,70,75,63,60,77,71,Cut Behind & Turn|Double Touch|Heel Trick|Long Throw|One-touch Pass|Penalty Specialist|Pinpoint Crossing|Sole Control|Through Passing|Weighted Pass,Incisive Run
15097,Nishikawa Shusaku,GK,183,81,40,Left,Rarely,Medium,Unwavering,High,Japan,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,50,41,43,52,58,40,41,51,53,46,44,48,60,75,69,72,67,71,54,50,69,66,78,52,62,GK Low Punt,
15113,Harada Yoshinobu,GK,183,79,40,Right,Occasionally,High,Standard,Medium,Japan,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,47,42,45,49,53,40,40,45,57,48,42,46,60,74,66,61,63,65,51,45,63,65,72,52,54,,
15159,Jogo Hisashi,CF,183,77,40,Right,Rarely,Medium,Standard,Low,Japan,Deep-Lying Forward,Basic,RMF=0|AMF=1|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=2|LB=0|CMF=0,69,71,62,67,66,63,65,67,62,58,48,54,57,56,40,40,40,40,40,63,58,69,71,67,60,61,,
15217,Gonda Shuichi,GK,187,84,37,Right,Occasionally,High,Standard,High,Japan,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,43,51,42,46,53,59,45,42,51,46,53,49,52,65,73,68,70,66,71,55,50,71,68,73,51,57,GK High Punt|GK Penalty Saver,
15261,Morishige Masato,CB,183,80,39,Right,Occasionally,High,Unwavering,Low,Japan,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,51,61,48,55,63,67,57,72,65,62,75,69,68,73,40,40,40,40,40,64,58,72,69,75,57,68,Captaincy|Penalty Specialist|Weighted Pass,
15296,Takeda Yohei,GK,189,84,39,Right,Rarely,Medium,Standard,High,Japan,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,46,41,42,51,54,40,42,50,46,48,45,43,60,71,64,70,67,66,51,49,73,71,77,50,51,GK Low Punt,
15320,Kagawa Shinji,CMF,175,68,37,Right,Occasionally,Very High,Standard,Low,Japan,Orchestrator,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=1|LB=0|CMF=2,65,75,69,73,77,74,69,55,73,75,62,64,60,66,40,40,40,40,40,61,67,71,63,58,75,72,Captaincy|Cut Behind & Turn|Double Touch|First-time Shot|One-touch Pass|Outside Curler|Scotch Move|Sole Control|Through Passing|Weighted Pass,Long Ball Expert|Mazing Run
15431,Hasegawa Toru,GK,187,75,38,Right,Rarely,Medium,Standard,Low,Japan,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,46,40,42,45,49,41,40,46,46,51,44,48,65,68,65,66,62,69,51,52,65,72,68,47,54,,
15433,Yoshida Maya,CB,189,79,38,Right,Rarely,High,Standard,Low,Japan,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=0|RWF=0|SS=0|LB=0|CMF=0,55,67,60,66,65,68,54,72,56,58,75,76,70,75,40,40,40,40,40,68,62,65,72,76,58,75,Aerial Superiority|Blocker|Captaincy|Fighting Spirit|Heading|Interception|Man Marking,Long Ball Expert
15446,Inui Takashi,AMF,169,63,38,Right,Rarely,High,Standard,High,Japan,Creative Playmaker,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=2|LWF=2|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=1,67,77,73,77,75,74,66,52,72,76,51,48,55,62,40,40,40,40,40,63,67,72,57,53,75,70,Cut Behind & Turn|Dipping Shot|Double Touch|Long Range Shooting|Long-Range Curler|Sole Control|Through Passing,Incisive Run|Long Ranger
15452,Nagasawa Shun,CF,192,79,38,Right,Occasionally,High,Standard,Medium,Japan,Deep-Lying Forward,Basic,RMF=0|AMF=1|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=1|LB=0|CMF=0,71,65,59,61,65,56,70,75,57,54,49,53,62,51,40,40,40,40,40,62,58,68,66,75,54,65,Aerial Superiority|First-time Shot|Heading|Super-sub|Track Back,
15509,Yonekura Koki,RMF,176,71,38,Right,Occasionally,High,Standard,Low,Japan,Cross Specialist,Basic,RMF=2|AMF=0|CB=0|CF=0|LMF=1|LWF=0|RB=2|DMF=0|RWF=1|SS=0|LB=0|CMF=0,63,66,68,64,61,70,60,63,67,73,65,66,62,71,40,40,40,40,40,74,69,66,63,56,72,65,Pinpoint Crossing,Early Cross
15527,Kurata Shu,LMF,172,68,38,Right,Occasionally,High,Standard,Medium,Japan,Roaming Flank,Basic,RMF=1|AMF=2|CB=0|CF=0|LMF=2|LWF=1|RB=0|DMF=2|RWF=0|SS=1|LB=0|CMF=2,68,73,67,71,73,71,65,58,67,73,57,51,54,62,40,40,40,40,40,65,69,74,62,63,68,66,Double Touch|One-touch Pass|Through Passing,
15814,Nagatomo Yuto,RB,170,68,40,Right,Regularly,Very High,Standard,High,Japan,Defensive Full-back,Basic,RMF=1|AMF=0|CB=0|CF=0|LMF=2|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=2|CMF=0,56,72,64,70,71,73,55,62,66,72,75,73,70,78,40,40,40,40,40,71,67,74,62,60,70,75,Acrobatic Clearance|Cut Behind & Turn|Double Touch|Fighting Spirit|Long Throw|Man Marking,Early Cross
15827,Miyazawa Hiroki,CMF,182,76,37,Right,Occasionally,High,Unwavering,High,Japan,Orchestrator,Basic,RMF=0|AMF=1|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,56,68,61,65,71,68,60,62,65,64,70,72,68,74,40,40,40,40,40,63,58,68,65,70,61,64,Blocker|Captaincy,
15882,Ohno Kazunari,CB,180,77,37,Left,Rarely,Medium,Standard,Low,Japan,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=1|CMF=0,48,57,50,53,58,61,50,70,55,60,73,71,65,75,40,40,40,40,40,63,61,66,70,74,58,66,Captaincy|Man Marking,
15883,Suzuki Daisuke,CB,182,74,36,Right,Rarely,Medium,Standard,High,Japan,Basic,The Destroyer,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=1|DMF=0|RWF=0|SS=0|LB=0|CMF=0,53,57,50,52,58,62,51,74,47,54,74,71,65,68,40,40,40,40,40,63,60,65,69,77,62,68,Acrobatic Clearance|Aerial Superiority|Captaincy|Heading|Man Marking,
15884,Michael James,CB,185,82,38,Right,Occasionally,High,Standard,Low,Japan,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,51,58,52,55,63,61,48,70,50,61,74,73,75,76,40,40,40,40,40,60,55,67,68,79,59,73,Blocker,Long Ball Expert
15893,Kiyotake Hiroshi,AMF,174,70,37,Right,Occasionally,High,Standard,Low,Japan,Creative Playmaker,Basic,RMF=0|AMF=2|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=1|LB=0|CMF=2,67,74,68,72,76,72,66,62,69,73,51,53,55,59,40,40,40,40,40,62,58,69,59,53,64,61,Double Touch|Sole Control,Long Ball Expert
15900,Yoshida Yutaka,LB,167,72,36,Right,Occasionally,High,Unwavering,Medium,Japan,Attacking Full-back,Basic,RMF=1|AMF=0|CB=0|CF=0|LMF=1|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=2|CMF=0,57,69,67,64,65,68,55,61,60,70,70,70,67,73,40,40,40,40,40,72,76,69,66,59,75,70,Fighting Spirit|Man Marking,
15918,Yamada Takumi,RB,170,67,37,Right,Occasionally,High,Unwavering,Medium,Japan,Defensive Full-back,Basic,RMF=2|AMF=0|CB=0|CF=0|LMF=2|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=2|CMF=0,57,70,65,69,67,71,60,66,57,63,70,68,65,72,40,40,40,40,40,71,70,62,65,57,67,72,Captaincy,Early Cross
15960,Kawata Kohei,GK,184,78,39,Right,Occasionally,High,Unwavering,Low,Japan,Basic,Attacking GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,41,46,42,44,51,58,42,41,45,47,49,43,48,65,73,66,64,70,68,53,50,68,72,70,50,56,GK Low Punt|GK Penalty Saver,
15971,Kim Young-Gwon,CB,186,74,36,Left,Almost Never,Medium,Unwavering,Low,Korea Republic,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=1|CMF=0,54,59,56,63,65,70,53,72,61,60,71,70,74,73,40,40,40,40,40,60,60,70,75,73,57,73,Captaincy|Fighting Spirit|Man Marking|Sliding Tackle,Long Ball Expert|Long Ranger
16008,Katano Hiromichi,CB,179,78,44,Right,Regularly,Very High,Unwavering,Medium,Japan,Build Up,Basic,RMF=1|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=1|CMF=0,48,55,52,53,58,60,47,65,55,55,68,69,67,72,40,40,40,40,40,60,60,65,68,67,55,62,Captaincy|Fighting Spirit|Interception|Man Marking,
16020,Kobayashi Yu,CF,177,72,39,Right,Occasionally,High,Standard,Low,Japan,Fox in the Box,Basic,RMF=0|AMF=1|CB=0|CF=2|LMF=0|LWF=1|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=0,73,68,62,66,65,67,72,69,61,58,46,46,51,48,40,40,40,40,40,65,62,70,67,61,66,60,Chip Shot Control|First-time Shot|Heading|Super-sub,
16025,Mitsuhira Kazushi,CF,175,68,38,Right,Occasionally,High,Standard,Medium,Japan,Deep-Lying Forward,Basic,RMF=0|AMF=2|CB=0|CF=2|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=2|LB=0|CMF=0,71,68,65,64,67,64,70,65,59,60,48,56,64,58,40,40,40,40,40,66,68,73,71,61,64,68,First-time Shot|Heading,
16075,Okamoto Takuya,RB,175,75,34,Right,Occasionally,High,Standard,Medium,Japan,Full-back Finisher,Basic,RMF=2|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=0|CMF=0,60,69,67,62,68,71,58,62,65,68,66,71,70,65,40,40,40,40,40,70,68,71,65,62,59,65,,Incisive Run|Long Ranger
16085,Kato Masaru,CMF,175,72,35,Left,Regularly,Very High,Standard,Medium,Japan,Orchestrator,Basic,RMF=2|AMF=1|CB=0|CF=0|LMF=1|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=1|CMF=2,64,72,66,74,72,69,63,62,65,68,63,69,66,68,40,40,40,40,40,64,59,70,63,56,73,76,,
16094,Kawanami Goro,GK,192,85,35,Right,Rarely,Medium,Standard,Medium,Japan,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,48,40,43,45,52,41,40,47,51,50,44,47,60,69,64,62,66,72,55,49,70,65,76,51,56,GK High Punt,
16095,Yamanaka Ryosuke,LMF,174,71,33,Left,Rarely,Medium,Standard,Low,Japan,Cross Specialist,Basic,RMF=0|AMF=0|CB=0|CF=0|LMF=2|LWF=1|RB=0|DMF=0|RWF=0|SS=0|LB=2|CMF=0,56,70,65,64,71,73,60,56,74,78,62,64,67,65,40,40,40,40,40,70,74,79,65,57,73,68,Knuckle Shot|Long Range Shooting|Long Throw|Low Lofted Pass|Pinpoint Crossing|Rising Shot,
16100,Ohgihara Takahiro,DMF,185,74,35,Left,Rarely,Low,Standard,Low,Japan,Basic,The Destroyer,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=1,54,71,61,66,72,73,59,65,74,72,70,74,78,72,40,40,40,40,40,61,64,75,67,72,58,74,Captaincy|Knuckle Shot|Long Range Shooting|Through Passing,Long Ball Expert|Long Ranger
16108,Kim Bo-Kyung,AMF,178,73,37,Left,Rarely,High,Standard,Low,Korea Republic,Hole Player,Basic,RMF=1|AMF=2|CB=0|CF=0|LMF=1|LWF=1|RB=0|DMF=1|RWF=1|SS=1|LB=0|CMF=2,70,73,70,68,74,71,63,60,71,72,51,56,64,65,40,40,40,40,40,63,68,68,60,62,71,65,Cut Behind & Turn|Fighting Spirit|Interception|Marseille Turn|One-touch Pass|Sole Control|Through Passing,Long Ball Expert
16114,Takagi Yoshiaki,AMF,168,66,34,Right,Occasionally,High,Standard,Medium,Japan,Creative Playmaker,Basic,RMF=1|AMF=2|CB=0|CF=1|LMF=2|LWF=1|RB=0|DMF=0|RWF=0|SS=2|LB=0|CMF=1,65,73,68,72,74,72,66,53,73,76,49,52,56,55,40,40,40,40,40,64,67,73,60,57,70,66,Dipping Shot|Long Range Shooting|Pinpoint Crossing|Sole Control|Through Passing,Long Ranger
16205,Kim Da-Sol,GK,188,80,37,Right,Rarely,Medium,Standard,High,Korea Republic,Basic,Defensive GK,RMF=0|AMF=0|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=0|CMF=0,40,45,41,43,47,50,40,44,46,45,43,42,48,60,69,67,68,68,69,48,50,71,60,68,55,52,GK High Punt|GK Long Throw,
16219,Oh Jae-Suk,RB,178,74,36,Right,Occasionally,High,Standard,Low,Korea Republic,Defensive Full-back,Basic,RMF=2|AMF=0|CB=0|CF=0|LMF=2|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=2|CMF=0,56,61,67,62,66,70,53,62,56,62,64,70,72,66,40,40,40,40,40,67,65,68,73,69,73,74,Fighting Spirit,Early Cross
16286,Ogawa Keijiro,RWF,170,67,34,Right,Rarely,Medium,Inconsistent,Low,Japan,Prolific Winger,Basic,RMF=1|AMF=1|CB=0|CF=0|LMF=2|LWF=2|RB=0|DMF=0|RWF=2|SS=1|LB=0|CMF=1,65,67,70,62,63,66,64,60,61,70,51,54,61,59,40,40,40,40,40,74,76,71,63,56,75,68,Double Touch,Mazing Run
16342,Okuno Hiroaki,DMF,171,68,37,Right,Occasionally,High,Standard,High,Japan,Orchestrator,Basic,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,61,72,67,73,74,71,61,58,66,70,63,69,67,72,40,40,40,40,40,61,64,69,62,55,72,68,Fighting Spirit|One-touch Pass|Through Passing|Weighted Pass,
16345,Shoji Gen,CB,182,76,34,Right,Occasionally,High,Standard,Low,Japan,Extra Frontman,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=0|RWF=0|SS=0|LB=1|CMF=0,52,61,55,57,63,68,49,71,51,54,77,72,69,76,40,40,40,40,40,65,61,74,72,77,59,69,Acrobatic Clearance|Blocker|Fighting Spirit|Heading|Sliding Tackle,
16346,Shibasaki Gaku,CMF,175,64,34,Right,Rarely,Low,Standard,Medium,Japan,Orchestrator,Basic,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,60,74,66,71,74,70,61,58,68,72,63,65,62,68,40,40,40,40,40,65,68,69,64,63,72,75,One-touch Pass|Through Passing,Long Ranger
16348,Doi Shoma,AMF,172,63,34,Right,Rarely,High,Unwavering,High,Japan,Hole Player,Basic,RMF=2|AMF=2|CB=0|CF=1|LMF=2|LWF=2|RB=0|DMF=1|RWF=0|SS=2|LB=0|CMF=1,70,73,72,68,74,71,70,58,66,69,52,50,56,54,40,40,40,40,40,69,72,64,65,57,71,66,Captaincy|Cut Behind & Turn|One-touch Pass|Sole Control|Through Passing,Mazing Run
16361,Saneto Yuki,CB,179,72,37,Right,Rarely,Medium,Standard,Medium,Japan,Extra Frontman,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=2|DMF=0|RWF=0|SS=0|LB=0|CMF=0,49,63,53,56,60,64,54,69,48,52,75,71,66,72,40,40,40,40,40,60,55,68,72,76,56,63,,
16362,Fukumori Akito,CB,183,81,34,Left,Rarely,Medium,Unwavering,High,Japan,Build Up,Basic,RMF=0|AMF=0|CB=2|CF=0|LMF=0|LWF=0|RB=0|DMF=1|RWF=0|SS=0|LB=1|CMF=0,55,65,58,62,67,69,63,67,75,73,72,71,74,75,40,40,40,40,40,66,64,73,72,69,61,74,Captaincy|Pinpoint Crossing|Weighted Pass,Early Cross|Long Ball Expert
16364,Oshima Ryota,DMF,168,66,33,Right,Occasionally,Medium,Standard,Low,Japan,Orchestrator,Basic,RMF=0|AMF=1|CB=0|CF=0|LMF=0|LWF=0|RB=0|DMF=2|RWF=0|SS=0|LB=0|CMF=2,63,74,68,72,76,73,64,57,65,70,62,65,68,64,40,40,40,40,40,65,67,72,61,55,69,66,Double Touch|Marseille Turn|One-touch Pass|Scotch Move|Sole Control|Weighted Pass,Long Ball Expert
