card_id,temporada,tipo,overall,roda_motor,nome,posicao,estilo_of,estilo_of_id,estilo_of_novo,estilo_of_pos,estilo_def,estilo_def_id,estilo_def_novo,pe,altura,peso,idade,nacionalidade,impeto_s1,impeto_s2_cond,vaga_s1,vaga_s2,atributos
15446,2027,base,74,false,Takashi Inui,AMF,Armador criativo,56,false,SA/PTD/PTE/MAT/MLD/MLE,Básico,0,false,Direito,169,63,37,Japan,,,false,false,"[67,75,71,76,74,73,66,52,72,76,51,48,55,62,40,40,40,40,40,69,74,72,57,53,75,70]"
15452,2027,base,71,false,Shun Nagasawa,CF,Pivô,88,false,CA,Básico,0,false,Direito,192,79,37,Japan,,,false,false,"[72,64,59,61,63,56,69,77,57,54,49,53,62,51,40,40,40,40,40,65,59,68,67,82,55,71]"
15509,2027,base,69,false,Koki Yonekura,RMF,Perito em cruzamento,76,false,PTD/PTE/MLD/MLE,Básico,0,false,Direito,176,71,37,Japan,,,false,false,"[63,66,68,64,61,70,60,63,67,73,65,66,62,71,40,40,40,40,40,74,69,66,63,56,72,65]"
15527,2027,base,73,false,Shu Kurata,LMF,Lateral móvel,72,false,PTD/PTE/MLD/MLE,Básico,0,false,Direito,172,68,37,Japan,,,false,false,"[66,73,67,71,73,71,64,58,67,73,57,51,54,62,40,40,40,40,40,65,69,74,62,63,68,66]"
15814,2027,base,74,false,Yuto Nagatomo,LB,Lateral defensivo,48,false,LD/LE,Básico,0,false,Direito,170,68,39,Japan,,,false,false,"[56,72,68,70,71,73,57,62,66,69,75,73,70,78,40,40,40,40,40,73,67,71,64,62,70,72]"
15827,2027,base,71,false,Hiroki Miyazawa,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,182,76,36,Japan,,,false,false,"[60,72,62,66,74,71,63,62,65,67,69,72,68,71,40,40,40,40,40,63,60,67,62,65,64,69]"
15856,2027,base,71,false,Takamitsu Tomiyama,CF,Atacante pivô,52,false,CA/SA,Básico,0,false,Direito,180,75,35,Japan,,,false,false,"[71,69,64,66,62,56,70,69,57,55,49,48,58,51,40,40,40,40,40,68,65,73,63,67,61,65]"
15882,2027,base,72,false,Kazunari Ohno,CB,O Destruidor,36,false,MLG/VOL/LD/LE/ZC,O Destruidor,36,false,Esquerdo,180,77,36,Japan,,,false,false,"[48,57,50,53,58,61,50,70,55,60,73,70,65,75,40,40,40,40,40,66,61,65,70,74,58,66]"
15883,2027,base,72,false,Daisuke Suzuki,CB,O Destruidor,36,false,MLG/VOL/LD/LE/ZC,O Destruidor,36,false,Direito,182,74,35,Japan,,,false,false,"[53,57,50,52,58,62,51,74,47,54,74,71,65,68,40,40,40,40,40,63,60,65,69,77,62,68]"
15884,2027,base,73,false,Michael James,CB,Provocador,60,false,,Básico,0,false,Direito,185,82,37,Japan,,,false,false,"[51,58,52,55,63,61,48,70,50,61,74,73,75,76,40,40,40,40,40,60,55,67,68,79,59,73]"
15893,2027,base,72,false,Hiroshi Kiyotake,AMF,Armador criativo,56,false,SA/PTD/PTE/MAT/MLD/MLE,Básico,0,false,Direito,173,70,36,Japan,,,false,false,"[67,74,68,72,76,73,66,62,70,73,51,53,55,59,40,40,40,40,40,65,61,71,62,57,68,64]"
15900,2027,base,72,false,Yutaka Yoshida,LB,Lateral ofensivo,44,false,LD/LE,Básico,0,false,Direito,167,72,35,Japan,,,false,false,"[57,67,66,63,64,68,55,61,60,70,68,69,67,72,40,40,40,40,40,72,76,68,64,58,74,75]"
15904,2027,base,72,false,Takuo Okubo,GK,Novo (2027),196,true,,Lateral defensivo,48,false,Direito,190,92,36,Japan,,,false,false,"[40,45,41,44,47,55,41,40,46,51,49,45,47,60,71,64,65,68,70,52,48,74,62,80,49,57]"
15918,2027,base,71,false,Takumi Yamada,RB,Lateral defensivo,48,false,LD/LE,Básico,0,false,Direito,170,67,36,Japan,,,false,false,"[57,70,65,69,67,71,60,66,57,63,70,68,65,72,40,40,40,40,40,71,70,62,65,57,67,72]"
15960,2027,base,71,false,Kohei Kawata,GK,Goleiro adiantado,64,false,GO,Lateral ofensivo,44,false,Direito,184,78,38,Japan,,,false,false,"[41,46,42,44,51,58,42,41,45,47,49,43,48,65,72,65,63,70,67,53,50,74,75,71,50,56]"
15971,2027,base,76,false,Kim Young-Gwon,CB,Provocador,60,false,,Básico,0,false,Esquerdo,186,74,35,Korea Republic,,,false,false,"[54,60,56,63,66,71,53,74,61,60,73,70,75,73,40,40,40,40,40,65,61,70,76,74,57,76]"
16008,2027,base,67,false,Hiromichi Katano,CB,Provocador,60,false,,Básico,0,false,Direito,179,78,43,Japan,,,false,false,"[48,55,52,53,58,60,47,65,55,55,68,68,67,72,40,40,40,40,40,62,60,65,68,67,55,62]"
16011,2027,base,71,false,Tsuyoshi Kodama,GK,Goleiro adiantado,64,false,GO,Atacante pivô,52,false,Direito,183,83,38,Japan,,,false,false,"[40,45,41,43,51,56,42,40,46,47,48,44,50,60,71,65,66,64,70,54,50,72,67,71,53,55]"
16020,2027,base,72,false,Yu Kobayashi,CF,Homem de área,12,false,CA,Básico,0,false,Direito,177,72,38,Japan,,,false,false,"[73,68,62,66,65,67,72,69,61,58,46,46,51,48,40,40,40,40,40,68,62,72,69,61,66,65]"
16022,2027,base,75,false,Han Kook-Young,DMF,Primeiro volante,32,false,VOL,Primeiro volante,32,false,Direito,183,74,35,Korea Republic,,,false,false,"[62,72,68,64,75,72,62,69,55,61,73,69,64,68,40,40,40,40,40,71,67,65,62,73,70,76]"
16025,2027,base,71,false,Kazushi Mitsuhira,CF,Atacante pivô,52,false,CA/SA,Básico,0,false,Direito,175,68,37,Japan,,,false,false,"[71,68,65,64,67,64,70,65,59,60,48,56,64,58,40,40,40,40,40,66,68,73,71,61,64,68]"
16035,2027,base,70,false,Yoshifumi Kashiwa,LMF,Perito em cruzamento,76,false,PTD/PTE/MLD/MLE,Básico,0,false,Direito,168,62,38,Japan,,,false,false,"[65,70,71,67,64,69,63,52,58,64,54,58,61,67,40,40,40,40,40,69,75,65,55,53,73,66]"
16075,2027,base,70,false,Takuya Okamoto,RB,Lateral atacante,84,false,LD/LE,Básico,0,false,Direito,175,75,33,Japan,,,false,false,"[60,69,67,62,68,71,58,62,65,68,65,70,69,65,40,40,40,40,40,71,69,72,66,62,59,65]"
16085,2027,base,71,false,Masaru Kato,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Esquerdo,175,72,34,Japan,,,false,false,"[64,72,66,74,72,69,63,62,65,68,63,69,66,68,40,40,40,40,40,64,59,70,63,56,73,76]"
16093,2027,base,71,false,Akimi Barada,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,173,69,34,Japan,,,false,false,"[57,69,65,68,74,72,61,56,64,67,66,70,73,75,40,40,40,40,40,67,63,75,66,61,72,68]"
16094,2027,base,71,false,Goro Kawanami,GK,Goleiro defensivo,68,false,GO,Lateral ofensivo,44,false,Direito,192,85,34,Japan,,,false,false,"[40,48,40,43,45,52,41,40,47,51,50,44,47,60,69,64,62,66,72,55,49,70,65,76,51,56]"
16095,2027,base,72,false,Ryosuke Yamanaka,LMF,Perito em cruzamento,76,false,PTD/PTE/MLD/MLE,Básico,0,false,Esquerdo,174,71,32,Japan,,,false,false,"[56,70,65,64,71,73,60,56,74,78,62,64,67,65,40,40,40,40,40,70,74,79,65,57,73,68]"
16100,2027,base,74,false,Takahiro Ohgihara,DMF,O Destruidor,36,false,MLG/VOL/LD/LE/ZC,O Destruidor,36,false,Esquerdo,185,74,34,Japan,,,false,false,"[54,70,61,66,71,73,59,65,74,72,69,73,77,71,40,40,40,40,40,61,64,75,67,72,58,74]"
16108,2027,base,74,false,Kim Bo-Kyung,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Esquerdo,178,73,36,Korea Republic,,,false,false,"[70,73,75,68,74,71,66,62,71,73,51,56,64,71,40,40,40,40,40,63,71,70,60,62,73,75]"
16114,2027,base,71,false,Yoshiaki Takagi,AMF,Armador criativo,56,false,SA/PTD/PTE/MAT/MLD/MLE,Básico,0,false,Direito,168,66,33,Japan,,,false,false,"[65,73,68,72,74,72,66,53,73,76,49,52,56,55,40,40,40,40,40,64,67,73,60,57,70,66]"
16205,2027,base,72,false,Kim Da-Sol,GK,Goleiro adiantado,64,false,GO,Armador criativo,56,false,Direito,188,80,36,Korea Republic,,,false,false,"[40,45,41,43,47,50,40,44,46,45,43,42,48,60,70,67,68,68,71,48,50,71,60,68,55,52]"
16219,2027,base,71,false,Oh Jae-Suk,RB,Lateral defensivo,48,false,LD/LE,Básico,0,false,Direito,178,74,35,Korea Republic,,,false,false,"[56,61,67,62,66,70,53,62,56,62,64,70,72,66,40,40,40,40,40,72,70,68,73,69,73,74]"
16286,2027,base,73,false,Keijiro Ogawa,LWF,Ala produtivo,16,false,PTD/PTE,Básico,0,false,Direito,170,67,33,Japan,,,false,false,"[65,68,71,62,63,67,65,60,61,72,51,54,61,62,40,40,40,40,40,77,79,71,63,56,75,73]"
16342,2027,base,73,false,Hiroaki Okuno,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,171,68,36,Japan,,,false,false,"[63,71,67,72,74,75,64,61,66,70,68,70,66,72,40,40,40,40,40,64,67,72,62,55,70,74]"
16345,2027,base,75,false,Gen Shoji,CB,Atacante surpresa,40,false,ZC,Básico,0,false,Direito,182,76,33,Japan,,,false,false,"[52,61,55,57,63,68,49,71,51,54,77,72,69,76,40,40,40,40,40,65,61,73,71,76,59,72]"
16346,2027,base,74,false,Gaku Shibasaki,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,175,64,33,Japan,,,false,false,"[62,74,66,72,75,71,63,58,69,73,63,65,62,66,40,40,40,40,40,67,72,69,64,63,73,76]"
16348,2027,base,73,false,Shoma Doi,SS,Atacante pivô,52,false,CA/SA,Básico,0,false,Direito,172,63,33,Japan,,,false,false,"[70,73,72,68,74,71,70,58,66,69,52,50,56,54,40,40,40,40,40,69,72,64,65,57,71,66]"
16361,2027,base,72,false,Yuki Saneto,CB,Atacante surpresa,40,false,ZC,Básico,0,false,Direito,179,72,36,Japan,,,false,false,"[49,63,53,56,60,64,54,69,48,52,75,71,66,72,40,40,40,40,40,60,55,68,72,76,56,63]"
16362,2027,base,74,false,Akito Fukumori,CB,Novo (2027),188,true,,Básico,0,false,Esquerdo,183,81,33,Japan,,,false,false,"[55,65,58,62,67,69,63,67,75,73,72,71,74,75,40,40,40,40,40,68,64,73,71,67,61,77]"
16364,2027,base,72,false,Ryota Oshima,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,168,66,32,Japan,,,false,false,"[63,74,68,72,76,73,64,57,65,70,62,65,68,64,40,40,40,40,40,65,68,72,61,55,69,66]"
16369,2027,base,70,false,Ryota Suzuki,GK,Goleiro adiantado,64,false,GO,Lateral ofensivo,44,false,Direito,192,93,31,Japan,,,false,false,"[40,51,43,45,53,58,43,41,46,50,47,44,42,60,68,62,63,66,70,55,48,72,70,80,49,57]"
16375,2027,base,72,false,Yuto Suzuki,RB,Lateral atacante,84,false,LD/LE,Básico,0,false,Direito,184,77,32,Japan,,,false,false,"[63,68,66,62,70,71,59,66,67,72,64,68,74,70,40,40,40,40,40,73,67,72,68,63,74,75]"
16379,2026,base,69,false,Horigome Yuki,AMF,Armador criativo,56,false,SA/PTD/PTE/MAT/MLD/MLE,Básico,0,false,Esquerdo,168,63,34,Japan,,,false,false,"[65,71,66,68,67,72,63,49,73,77,52,55,69,66,40,40,40,40,40,69,71,70,58,57,77,70]"
16387,2027,base,72,false,Noriyoshi Sakai,CF,Homem de área,12,false,CA,Básico,0,false,Esquerdo,180,80,33,Japan,,,false,false,"[68,67,63,66,61,58,70,69,59,62,53,57,62,54,40,40,40,40,40,69,66,74,65,73,65,62]"
16409,2027,base,73,false,Kenyu Sugimoto,CF,Atacante pivô,52,false,CA/SA,Básico,0,false,Direito,188,80,33,Japan,,,false,false,"[69,67,68,64,66,70,67,72,54,57,62,59,67,69,40,40,40,40,40,71,66,73,74,76,62,70]"
16423,2027,base,73,false,Kazuki Kushibiki,CB,Atacante surpresa,40,false,ZC,Básico,0,false,Direito,182,82,32,Japan,,,false,false,"[51,55,49,53,52,57,48,74,47,55,71,68,75,67,40,40,40,40,40,65,60,66,73,76,57,72]"
16424,2027,base,74,false,Tatsuki Nara,CB,Provocador,60,false,,Básico,0,false,Direito,180,74,32,Japan,,,false,false,"[47,60,51,56,58,63,48,68,53,62,75,73,71,74,40,40,40,40,40,64,59,73,73,76,62,67]"
16426,2027,base,72,false,Takuma Arano,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,180,76,32,Japan,,,false,false,"[62,73,66,70,74,71,66,61,66,69,62,67,63,64,40,40,40,40,40,62,65,74,55,57,66,73]"
16430,2027,base,71,false,Takashi Kasahara,GK,Goleiro adiantado,64,false,GO,Novo (2027),176,true,Direito,191,91,37,Japan,,,false,false,"[40,46,41,44,49,55,45,40,47,47,51,42,48,60,68,62,65,69,71,54,49,72,68,78,51,56]"
16431,2027,base,75,false,Tsukasa Shiotani,CB,Provocador,60,false,,Básico,0,false,Direito,182,81,37,Japan,,,false,false,"[54,68,58,65,67,70,60,67,63,64,75,71,63,72,40,40,40,40,40,65,62,75,73,72,61,71]"
16452,2027,base,73,false,Haruya Ide,AMF,Armador criativo,56,false,SA/PTD/PTE/MAT/MLD/MLE,Básico,0,false,Direito,171,66,31,Japan,,,false,false,"[66,72,69,74,73,75,65,54,68,72,50,53,60,55,40,40,40,40,40,71,66,74,61,57,68,72]"
16453,2027,base,75,false,Kento Hashimoto,CMF,Meia versátil,28,false,MLD/MLE/MLG/VOL,Meia versátil,28,false,Direito,183,72,32,Japan,,,false,false,"[63,71,65,70,72,70,64,67,60,61,69,74,74,67,40,40,40,40,40,70,69,70,67,72,68,79]"
16456,2027,base,72,false,Shota Arai,GK,Goleiro adiantado,64,false,GO,Lateral defensivo,48,false,Direito,185,85,37,Japan,,,false,false,"[40,51,42,46,55,62,43,41,48,45,51,43,46,60,72,68,64,66,67,59,56,70,71,73,53,55]"
16460,2027,base,72,false,Shuto Minami,DMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,177,71,32,Japan,,,false,false,"[61,73,68,74,75,71,66,62,67,68,64,69,63,68,40,40,40,40,40,69,64,73,62,65,63,76]"
16464,2027,base,72,false,Ryota Kajikawa,SS,Clássico nº 10,20,false,SA/MAT,Básico,0,false,Direito,164,58,36,Japan,,,false,false,"[64,72,65,69,70,73,62,58,75,74,58,55,64,66,40,40,40,40,40,68,72,76,57,50,74,73]"
16472,2027,base,72,false,Kosuke Onose,CMF,Jogador de infiltração,24,false,SA/MAT/MLD/MLE/MLG,Básico,0,false,Direito,178,69,32,Japan,,,false,false,"[65,70,66,69,73,71,67,54,61,64,57,62,66,67,40,40,40,40,40,71,68,75,60,54,72,74]"
16474,2027,base,80,false,Wataru Endo,DMF,Primeiro volante,32,false,VOL,Primeiro volante,32,false,Direito,178,75,32,Japan,,,false,false,"[59,72,68,77,75,73,62,68,55,62,77,78,82,78,40,40,40,40,40,65,70,75,74,67,75,83]"
16476,2027,base,71,false,Ryota Nagaki,DMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,175,67,37,Japan,,,false,false,"[56,71,61,67,71,73,57,53,70,69,71,67,68,70,40,40,40,40,40,64,62,74,65,67,68,71]"
16477,2027,base,72,false,Ken Iwao,CMF,Orquestrador,80,false,MLG/VOL,Básico,0,false,Direito,175,65,37,Japan,,,false,false,"[59,74,67,73,76,72,65,56,74,76,68,65,63,71,40,40,40,40,40,59,63,73,62,57,68,72]"
16491,2027,base,71,false,Daichi Sugimoto,GK,Goleiro adiantado,64,false,GO,Provocador,60,false,Direito,187,83,32,Japan,,,false,false,"[41,52,44,47,48,56,46,44,47,48,50,44,48,60,69,66,70,72,66,51,54,66,70,73,54,57]"
16496,2027,base,74,false,Yuji Takahashi,CB,O Destruidor,36,false,MLG/VOL/LD/LE/ZC,O Destruidor,36,false,Direito,187,80,32,Japan,,,false,false,"[50,62,52,56,59,66,54,71,55,53,72,69,65,68,40,40,40,40,40,69,62,66,71,76,58,69]"
16497,2027,base,74,false,Jung Woo-Young,DMF,Primeiro volante,32,false,VOL,Primeiro volante,32,false,Direito,186,78,36,Korea Republic,,,false,false,"[59,71,65,63,72,70,57,72,70,73,71,67,68,74,40,40,40,40,40,66,70,75,72,72,62,73]"
16499,2027,base,72,false,Yoshiaki Komai,AMF,Jogador de infiltração,24,false,SA/MAT/MLD/MLE/MLG,Básico,0,false,Direito,168,67,33,Japan,,,false,false,"[65,72,68,75,73,70,66,63,65,71,57,59,68,63,40,40,40,40,40,69,75,67,63,54,74,73]"
16500,2027,base,73,false,Riki Harakawa,CMF,Meia versátil,28,false,MLD/MLE/MLG/VOL,Meia versátil,28,false,Direito,175,72,32,Japan,,,false,false,"[63,71,65,70,75,72,64,61,76,73,65,70,68,72,40,40,40,40,40,68,63,76,58,66,64,67]"
16501,2027,base,73,false,Yuya Kubo,CMF,Meia versátil,28,false,MLD/MLE/MLG/VOL,Meia versátil,28,false,Direito,178,73,32,Japan,,,false,false,"[66,73,72,72,73,67,64,60,66,66,61,66,70,71,40,40,40,40,40,66,76,64,63,61,72,75]"
16530,2027,base,73,false,Hayato Nakama,LMF,Lateral móvel,72,false,PTD/PTE/MLD/MLE,Básico,0,false,Direito,170,66,33,Japan,,,false,false,"[65,72,69,70,71,67,66,62,65,69,55,57,66,63,40,40,40,40,40,71,74,68,64,58,76,72]"
16536,2027,base,74,false,Ken Matsubara,RB,Lateral defensivo,48,false,LD/LE,Básico,0,false,Direito,180,77,32,Japan,,,false,false,"[57,71,65,68,72,75,63,64,62,69,65,68,71,74,40,40,40,40,40,73,69,75,67,64,68,77]"
16538,2027,base,72,false,Hirotaka Tameda,LMF,Lateral móvel,72,false,PTD/PTE/MLD/MLE,Básico,0,false,Direito,175,72,32,Japan,,,false,false,"[64,69,70,66,64,72,61,62,68,74,55,58,62,65,40,40,40,40,40,71,74,72,63,56,73,70]"
16541,2026,base,73,false,Kamifukumoto Naoto,GK,Básico,0,false,,Goleiro adiantado,64,false,Direito,182,76,37,Japan,,,false,false,"[40,50,42,44,48,54,41,41,50,47,43,44,53,60,71,64,73,69,71,58,63,68,74,70,55,58]"
16555,2027,base,75,false,Heberty,SS,Jogador de infiltração,24,false,SA/MAT/MLD/MLE/MLG,Básico,0,false,Esquerdo,172,75,37,Brazil,,,false,false,"[70,70,73,70,68,70,72,58,70,71,50,53,53,52,40,40,40,40,40,73,77,75,61,63,68,68]"
16572,2027,base,74,false,Yuichi Maruyama,CB,Provocador,60,false,,Básico,0,false,Esquerdo,184,77,36,Japan,,,false,false,"[53,63,54,58,65,69,55,68,51,67,76,71,66,75,40,40,40,40,40,64,60,68,66,76,57,67]"
